Name,SellPrice,BuyPrice,AvgSellPrice,AvgBuyPrice,Sold,Bought,Profit,RelProfit,PotProfit,ApproxOffers
cheesy figurine,450,125,294,117,42,263,325,2.6,13650,2
cheesy membership card,139000,115800,139000,108171,1,14,23200,0.2,23200,0
cherry,0,0,897,0,6,0,0,0,0,0
chicken feather,2778,2063,3220,2412,224,666,715,0.35,160160,4
chimney kit,-1,100000,0,0,0,0,-100001,-1.0,0,0
chisel,199,0,0,0,0,0,199,0,0,0
chitinous mouth,-1,9581,0,9417,0,6,-9582,-1.0,0,0
chocolate cake,10000,520,13307,530,10,3,9480,18.23,28440,0
chocolatey dragon scale legs,100,1,212,2,16,14,99,99.0,1386,0
chopper of carving,-1,-1,-1,-1,-1,-1,0,0,0,-1
chopper of destruction,1897000,1351100,1617135,1398975,24,22,545900,0.4,12009800,2
chopper of mayhem,-1,-1,-1,-1,-1,-1,0,0,0,-1
chopper of remedy,-1,-1,-1,-1,-1,-1,0,0,0,-1
christmas card,29,0,34,0,4,0,29,0,0,0
christmas cookie tray,999,0,912,0,4,0,999,0,0,0
christmas present bag,238,154,271,154,9,63,84,0.55,756,1
christmas token,247,116,360,115,21,75,131,1.13,2751,1
cigar,49000,1000,32914,944,7,9,48000,48.0,336000,0
claw of 'the noxious spawn',28900,12700,49735,13304,63,38,16200,1.28,615600,1
clay lump,2500,551,2596,1500,93,260,1949,3.54,181257,1
cleaver,40,0,0,0,0,0,40,0,0,0
clerical mace,100,52,107,54,15,99,48,0.92,720,0
cliff strider claw,-1,658,0,577,0,10,-659,-1.0,0,0
closed trap,897,2,511,1,50,20,895,447.5,17900,0
club,66,2,168,2,3,2,64,32.0,128,0
club ring,800,625,854,511,525,447,175,0.28,78225,4
club of the fury,159999,3000,0,3000,0,2,156999,52.33,0,0
cluster of solace,6714,6025,6682,5972,350,1044,689,0.11,241150,8
coal,30,11,46,6,24,469,19,1.73,456,0
coal basin kit,-1,100000,0,0,0,0,-100001,-1.0,0,0
coal eyes,32900,1300,60000,1400,1,5,31600,24.31,31600,1
coat,0,0,10,0,1,0,0,0,0,0
cobra axe,2350000,2000000,2250945,1918413,68,34,350000,0.17,11900000,2
cobra boots,21996000,17679000,22371363,18691000,11,13,4317000,0.24,47487000,3
cobra club,2999888,1856000,2578473,2005892,58,29,1143888,0.62,33172752,3
cobra crest,752,460,673,516,7,369,292,0.63,2044,2
cobra crossbow,2481900,2142000,2473017,2053716,92,59,339900,0.16,20054100,3
cobra crown,51800,49440,52557,49393,105,169,2360,0.05,247800,1
cobra hood,6200000,5875000,6398292,5643293,58,41,325000,0.06,13325000,2
cobra rod,7450000,6108000,7052414,6317801,84,65,1342000,0.22,87230000,3
cobra sword,2451000,2007000,2346569,1975569,45,37,444000,0.22,16428000,2
cobra tongue,617,100,569,77,193,108,517,5.17,55836,1
cobra wand,2944000,2118002,2398595,1936282,77,47,825998,0.39,38821906,5
cocktail glass,1999999,102,0,102,0,1,1999897,19606.83,0,0
coconut,99,26,228,24,51,58,73,2.81,3723,0
coconut shoes,80000,99,0,0,0,0,79901,807.08,0,2
coconut shrimp bake,18774,13019,16941,12050,35,68,5755,0.44,201425,0
collar of blue plasma,6136,5317,6540,6041,1568,1225,819,0.15,1003275,4
collar of green plasma,5989,5160,6058,5644,1382,1447,829,0.16,1145678,5
collar of red plasma,18000,13223,18894,17656,2691,1791,4777,0.36,8555607,6
coloured egg,99,1,98,1,2,5,98,98.0,196,0
colourful feather,198,75,249,69,1,44,123,1.64,123,0
colourful feathers,39000,16000,44364,33716,270,317,23000,1.44,6210000,5
colourful fireworks rocket,-1,-1,-1,-1,-1,-1,0,0,0,-1
colourful snail shell,399,215,489,189,4,101,184,0.86,736,1
comb,3850,0,0,0,0,0,3850,0,0,0
combat knife,0,0,14,0,7,0,0,0,0,0
compass,670,1,597,64,4,23,669,669.0,2676,0
composite hornbow,25799,24740,25797,24769,118,314,1059,0.04,124962,0
compound eye,149,62,137,85,10,101,87,1.4,870,2
compromising letter,79999,100,0,99,0,2,79899,798.99,0,5
condensed energy,6500,405,7499,143,12,12,6095,15.05,73140,0
contract,-1,0,0,0,0,0,-1,0,0,0
control unit,448,75,435,33,51,52,373,4.97,19023,0
convince creature rune,98,41,168,34,75,101,57,1.39,4275,1
cookbook,55000,0,55000,0,2,0,55000,0,0,0
cookie,-1,0,0,0,0,0,-1,0,0,0
copper prison key,484900,131125,436697,133983,9,3,353775,2.7,1061325,1
copper shield,-1,15,0,8,0,2,-16,-1.07,0,0
copper valve,4998,300,3872,300,20,5,4698,15.66,23490,0
coral brooch,850,705,0,701,0,476,145,0.21,0,0
coral comb,699500,547001,936847,564626,8,4,152499,0.28,609996,2
corncob,28,10,74,10,5,9,18,1.8,90,0
corned fish,55000,50,55000,4178,2,4,54950,1099.0,109900,0
cornucopia,1999000,455000,0,0,0,0,1544000,3.39,0,0
corrupted flag,307,307,665,299,1,96,0,0.0,0,0
costume bag,8000,2510,4850,931,183,22,5490,2.19,120780,0
countess sorrow's frozen tear,699000,500000,699000,500000,1,1,199000,0.4,199000,0
cow bell,29999,40,0,0,0,0,29959,748.98,0,0
cowbell,195,125,191,150,7,235,70,0.56,490,1
cowtana,2129,2129,3059,2345,62,561,0,0.0,0,3
crab man claws,-1,385,0,159,0,35,-386,-1.0,0,0
crab pincers,50,11,72,12,44,189,39,3.55,1716,0
cracked alabaster vase,150,75,150,73,1,39,75,1.0,75,0
crackling egg,280000000,240000000,280000000,240500000,1,2,40000000,0.17,40000000,1
cranial basher,46900,16847,41749,16706,2,1,30053,1.78,30053,0
crawler head plating,4286,3281,5573,4113,476,264,1005,0.31,265320,7
crawler's essence,39997,1000,55131,8499,7,26,38997,39.0,272979,1
cream cake,7774,4001,6228,3978,69,113,3773,0.94,260337,2
crest of the deep seas,209996,78702,114628,73694,142,149,131294,1.67,18643748,4
crimson rose,299,1,1110,1200,16,5,298,298.0,1490,1
crimson sword,1099,6,1087,4,104,43,1093,182.17,46999,1
crocodile boots,1300,703,1439,582,28,70,597,0.85,16716,0
crocodile steak,120000,10000,0,0,0,0,110000,11.0,0,0
crossbow,99,11,124,17,8,181,88,8.0,704,1
crossbow of carving,-1,-1,-1,-1,-1,-1,0,0,0,-1
crossbow of destruction,457100,457100,672498,559639,45,35,0,0.0,0,3
crossbow of mayhem,-1,-1,-1,-1,-1,-1,0,0,0,-1
crossbow of remedy,-1,-1,-1,-1,-1,-1,0,0,0,-1
crowbar,18,18,86,16,189,180,0,0.0,0,0
crown,44999000,36025000,37929995,33820500,25,18,8974000,0.25,161532000,2
crown armor,14000,11280,12092,11254,132,1860,2720,0.24,359040,4
crown backpack,3111,300,4297,508,101,75,2811,9.37,210825,4
crown helmet,2500,2280,2679,2279,271,1804,220,0.1,59620,3
crown legs,11991,11290,12451,11454,155,832,701,0.06,108655,2
crown shield,8498,7685,8145,7594,83,946,813,0.11,67479,1
crude umbral axe,59999,27122,70537,26743,6,5,32877,1.21,164385,1
crude umbral blade,50506,15823,40537,20937,14,6,34683,2.19,208098,1
crude umbral bow,40000,14100,62559,16994,7,7,25900,1.84,181300,2
crude umbral chopper,14998,4100,31103,16020,6,5,10898,2.66,54490,0
crude umbral crossbow,54797,37000,55965,40500,9,6,17797,0.48,106782,1
crude umbral hammer,18900,10,15215,3360,4,5,18890,1889.0,75560,0
crude umbral mace,44453,12401,43365,12012,7,6,32052,2.58,192312,0
crude umbral slayer,29899,6050,32369,5640,12,6,23849,3.94,143094,3
crude umbral spellbook,389900,102844,263522,186642,26,13,287056,2.79,3731728,1
crude wood planks,120000,6035,120000,6000,1,1,113965,18.88,113965,1
cruelty's chest,2000000,689000,0,689000,0,1,1311000,1.9,0,0
cruelty's claw,-1,588000,0,601333,0,3,-588001,-1.0,0,0
crunor idol,35000,28700,0,29303,0,31,6300,0.22,0,0
crusader helmet,6298,5730,6011,5363,115,666,568,0.1,65320,0
cryana,399900,100200,492635,97500,4,1,299700,2.99,299700,3
crystal backpack,110100,45300,72589,44497,26,13,64800,1.43,842400,1
crystal ball,898,99,0,96,0,47,799,8.07,0,0
crystal bone,-1,83,0,108,0,23,-84,-1.01,0,0
crystal boots,60000000,39102000,68949454,47833254,2,2,20898000,0.53,41796000,1
crystal crossbow,49990,34630,36607,34579,27,220,15360,0.44,414720,1
crystal lamp,-1,5035,0,0,0,0,-5036,-1.0,0,0
crystal mace,13400,11580,12632,11606,9,590,1820,0.16,16380,2
crystal necklace,1099,383,479,376,8,333,716,1.87,5728,1
crystal pedestal,900,160,658,156,27,97,740,4.62,19980,0
crystal ring,-1,50,0,0,0,0,-51,-1.02,0,0
crystal sword,599,485,582,523,30,1063,114,0.24,3420,2
crystal table kit,2000000,150400,0,0,0,0,1849600,12.3,0,1
crystal wand,15000,7500,12799,7298,5,19,7500,1.0,37500,1
crystal of balance,3299,802,3194,706,6,19,2497,3.11,14982,0
crystal of focus,1500,771,3341,729,7,62,729,0.95,5103,0
crystal of power,3750,2300,3244,2344,8,100,1450,0.63,11600,1
crystalline armor,16799,14780,16341,15132,9,254,2019,0.14,18171,0
crystalline arrow,21,19,20,19,1733,400,2,0.11,800,1
crystalline arrow earth,-1,-1,-1,-1,-1,-1,0,0,0,-1
crystalline arrow energy,-1,-1,-1,-1,-1,-1,0,0,0,-1
crystalline arrow fire,-1,-1,-1,-1,-1,-1,0,0,0,-1
crystalline arrow ice,-1,-1,-1,-1,-1,-1,0,0,0,-1
crystalline axe,49900,10009,73408,26094,19,21,39891,3.99,757929,2
crystalline spikes,410,148,403,141,3,71,262,1.77,786,0
crystalline sword,1300,500,1990,268,73,195,800,1.6,58400,1
crystallized anger,638,405,811,444,149,266,233,0.58,34717,3
cucumber,10,10,24,10,9,11,0,0.0,0,0
cultish mask,8553,7855,9137,8050,727,991,698,0.09,507446,7
cultish robe,298,101,362,113,317,810,197,1.95,62449,5
cultish symbol,500,455,487,446,6,281,45,0.1,270,0
cure poison rune,15,1,15,1,6,4,14,14.0,56,0
curious matter,444,310,465,339,11,304,134,0.43,1474,0
curl of hair,-1,320000,0,306000,0,3,-320001,-1.0,0,0
cursed bone,5500,4300,5916,5260,12,362,1200,0.28,14400,1
cursed shoulder spikes,390,162,430,167,5,118,228,1.41,1140,0
cyan crystal fragment,960,765,1249,762,4,710,195,0.25,780,1
cyclops toe,349,101,697,128,195,522,248,2.46,48360,5
cyclops trophy,594,260,494,251,6,87,334,1.28,2004,0
dagger,22998,19380,22023,19746,47,1184,3618,0.19,170046,0
damaged armor plates,9000,140,0,120,0,60,8860,63.29,0,0
damaged helmet,-1,10000,0,10000,0,4,-10001,-1.0,0,0
damaged logbook,14999,100,0,100,0,3,14899,148.99,0,0
damaged steel helmet,2285000,800000,2071249,800000,4,1,1485000,1.86,1485000,2
damaged worm head,-1,7680,0,7680,0,16,-7681,-1.0,0,0
damselfly eye,23,5,23,13,1,87,18,3.6,18,0
damselfly wing,300,96,287,85,210,218,204,2.12,42840,1
dandelion seeds,199,123,293,121,3,120,76,0.62,228,1
dangerous proto matter,1000,195,1550,182,9,88,805,4.13,7245,0
daramian axe,-1,0,0,0,0,0,-1,0,0,0
daramian mace,490,11,476,11,11,31,479,43.55,5269,1
daramian waraxe,1000,790,1101,880,13,180,210,0.27,2730,0
dark armor,359,120,343,220,47,390,239,1.99,11233,0
dark bell,311000,311000,298000,311000,1,1,0,0.0,0,1
dark essence,390,0,747,0,4,0,390,0,0,0
dark helmet,235,115,236,109,55,120,120,1.04,6600,1
dark lord's cape,60000000,60000000,111110000,65000000,1,2,0,0.0,0,0
dark mushroom,98,85,102,97,104,660,13,0.15,1352,2
dark rosary,25,15,0,19,0,129,10,0.67,0,0
dark shield,397,225,372,256,26,365,172,0.76,4472,0
dark trinity mace,-1,0,0,0,0,0,-1,0,0,0
dark whispers,170000,72304,147289,113011,121,109,97696,1.35,10648864,2
dawnfire pantaloons,11999000,10001000,11336266,9288650,29,20,1998000,0.2,39960000,3
dawnfire sherwani,3195000,2700417,3607206,2926087,26,19,494583,0.18,9397077,0
dead frog,45,40,41,40,3,7,5,0.12,15,0
dead weight,1999,310,1226,252,7,70,1689,5.45,11823,2
deadeye devious' eye patch,568997,375000,547737,375608,12,9,193997,0.52,1745973,1
death amplification,1795000,954003,1567856,942781,14,9,840997,0.88,7568973,1
death gaze,15000000,9000000,14750000,0,2,0,6000000,0.67,0,0
death resilience,3777666,1300008,1671892,1125002,23,3,2477658,1.91,7432974,1
death ring,1097,988,1083,988,187,2028,109,0.11,20383,1
deathstrike's snippet,35800,7000,47582,31544,28,36,28800,4.11,806400,3
decorative ribbon,2999999,1000324,1899974,0,4,0,1999675,2.0,0,0
deed of ownership,50000,0,50000,0,1,0,50000,0,0,1
deep crystal,15000,38,14995,869,2,2,14962,393.74,29924,0
deepling axe,38999,30599,37187,28713,16,22,8400,0.27,134400,2
deepling backpack,1550,280,2136,741,66,56,1270,4.54,71120,2
deepling breaktime snack,-1,30,0,15,0,19,-31,-1.03,0,0
deepling ceremonial dagger,319934,130000,348912,239150,18,15,189934,1.46,2849010,1
deepling claw,-1,379,0,371,0,22,-380,-1.0,0,0
deepling filet,2,0,1,0,4,0,2,0,0,0
deepling fork,4498982,2713000,3343882,2304943,19,8,1785982,0.66,14287856,0
deepling guard belt buckle,-1,152,0,149,0,28,-153,-1.01,0,0
deepling ridge,156,156,340,269,1,64,0,0.0,0,0
deepling scales,2500,40,0,41,0,22,2460,61.5,0,1
deepling squelcher,6794,5305,7038,5714,19,25,1489,0.28,28291,0
deepling staff,3886,2714,3843,2584,8,41,1172,0.43,9376,0
deepling warts,1050,202,729,131,218,149,848,4.2,126352,4
deeptags,205,205,272,202,2,61,0,0.0,0,0
deepworm jaws,449,110,441,404,11,185,339,3.08,3729,1
deepworm spike roots,500,360,483,335,5,189,140,0.39,700,1
deepworm spikes,790,580,790,548,1,148,210,0.36,210,0
deer trophy,5261,3062,10756,3484,98,76,2199,0.72,167124,3
delany's golden bug trophy,339900,115000,424998,115050,2,2,224900,1.96,449800,0
delicate vase,49,0,49,0,1,0,49,0,0,0
demon armor,169400,100700,150735,112698,90,68,68700,0.68,4671600,1
demon backpack,1447,126,1126,167,255,145,1321,10.48,191545,3
demon dust,790,474,771,465,186,172,316,0.67,54352,3
demon helmet,59297,44812,57859,45977,232,199,14485,0.32,2882515,4
demon horn,997,845,984,890,42,604,152,0.18,6384,2
demon legs,3599999,2275000,3359099,2791589,20,17,1324999,0.58,22524983,1
demon shield,30997,29720,30814,29795,462,865,1277,0.04,589974,1
demon trophy,43899,36970,39957,36966,27,76,6929,0.19,187083,2
demonbone,400000,159000,544186,158123,2,1,241000,1.52,241000,0
demonbone amulet,32555,31670,34036,31614,7,129,885,0.03,6195,0
demonic candy ball,3963,1605,3998,1723,30,38,2358,1.47,70740,0
demonic essence,1000,990,1016,983,284,2745,10,0.01,2840,3
demonic finger,-1,708,0,650,0,1,-709,-1.0,0,0
demonic skeletal hand,500,103,662,90,226,429,397,3.85,89722,2
demonic tapestry,189800,120128,265216,128477,10,14,69672,0.58,696720,0
demonrage sword,36635,35620,36621,35658,14,219,1015,0.03,14210,1
demonwing axe,888600,313300,676717,318371,17,7,575300,1.84,4027100,3
depth calcei,409000,153000,403051,332513,130,121,256000,1.67,30976000,6
depth lorica,408000,265100,388604,302083,85,65,142900,0.54,9288500,6
depth ocrea,49000,26000,59417,31059,43,26,23000,0.88,598000,0
depth scutum,98864,23200,99289,29563,3,2,75664,3.26,151328,0
destroy field rune,16,12,16,8,571,213,4,0.33,852,1
devil helmet,900,615,958,704,28,348,285,0.46,7980,1
devourer core,499700,201000,598966,235500,3,2,298700,1.49,597400,0
diabolic skull,47980,18630,26011,18459,8,23,29350,1.58,234800,0
diamond,14900,14090,13950,13786,2,309,810,0.06,1620,1
diamond arrow,102,99,101,98,2057,320,3,0.03,960,0
diamond necklace,-1,856000,0,1428000,0,2,-856001,-1.0,0,0
diamond sceptre,2996,2780,3140,2918,32,1037,216,0.08,6912,2
diapason,89799,66666,126670,73591,32,15,23133,0.35,346995,3
didgeridoo,900,900,1307,900,19,18,0,0.0,0,0
dinky moss floret,8990,4,29999,5,1,2,8986,2246.5,8986,1
dinky moss floret garland,28990,100,30154,101,9,3,28890,288.9,86670,1
diremaw brainpan,340,240,323,254,18,256,100,0.42,1800,1
diremaw legs,232,232,259,221,5,199,0,0.0,0,0
dirty fur,8,0,8,0,31,0,8,0,0,0
dirty turban,700,68,662,63,13,144,632,9.29,8216,2
disgusting trophy,1999999,500288,0,0,0,0,1499711,3.0,0,0
disintegrate rune,22,11,24,8,195,93,11,1.0,1023,1
distorted heart,-1,0,0,0,0,0,-1,0,0,0
distorted robe,-1,400,0,400,0,1,-401,-1.0,0,0
divine plate,54091,54091,55942,54285,18,46,0,0.0,0,0
djinn blade,100000,55800,131421,59834,21,12,44200,0.79,530400,1
djinn's lamp,-1,0,0,0,0,0,-1,0,0,0
document of the follower,1327,400,1708,420,42,5,927,2.32,4635,1
document of the leader,7398,280,17903,297,33,5,7118,25.42,35590,1
document of the officer,2111,150,2962,150,41,6,1961,13.07,11766,2
dog collar,47000,7000,43499,7000,2,1,40000,5.71,40000,0
doll,1800000,701146,1968974,0,4,0,1098854,1.57,0,0
doll of durin the almighty,1897900,600000,1997300,510100,1,2,1297900,2.16,1297900,0
double axe,500,51,309,148,11,217,449,8.8,4939,1
doublet,28,1,61,1,15,11,27,27.0,297,0
downy feather,6666,2929,7499,2929,2,15,3737,1.28,7474,0
dowser,30,14,30,15,1,97,16,1.14,16,0
drachaku,9671,8780,9671,9123,1,26,891,0.1,891,0
dracola's eye,298999,100000,298166,98500,3,2,198999,1.99,397998,0
dragha's spellbook,9999,0,5044,0,9,0,9999,0,0,0
dragon backpack,229,30,334,78,177,97,199,6.63,19303,1
dragon blood,699,411,671,449,9,270,288,0.7,2592,1
dragon claw,810000,527100,1008390,521873,38,20,282900,0.54,5658000,2
dragon crown,5990,1300,6333,2975,3,4,4690,3.61,14070,0
dragon egg shells,-1,-1,-1,-1,-1,-1,0,0,0,-1
dragon eye,1000000,1000000,1187500,0,2,0,0,0.0,0,0
dragon figurine,44500,41000,45647,43166,10,70,3500,0.09,35000,1
dragon ham,22,7,28,8,174,189,15,2.14,2610,0
dragon hammer,1948,1535,1840,1595,33,944,413,0.27,13629,0
dragon lance,11000,8490,8956,8437,21,87,2510,0.3,52710,0
dragon lord trophy,20000,8505,11275,8481,22,105,11495,1.35,252890,1
dragon necklace,97,32,103,35,258,532,65,2.03,16770,1
dragon priest's wandtip,300,110,292,84,4,103,190,1.73,760,1
dragon robe,177769,66174,151471,68019,7,4,111595,1.69,446380,0
dragon scale boots,70000000,53770785,60300976,53770785,3,1,16229215,0.3,16229215,1
dragon scale helmet,2499994,1350834,1804548,1525719,6,2,1149160,0.85,2298320,2
dragon scale legs,100,1,212,2,16,14,99,99.0,1386,0
dragon scale mail,41500,39091,41584,39306,112,270,2409,0.06,269808,2
dragon shield,4400,3701,4120,3578,197,758,699,0.19,137703,3
dragon slayer,18858,14830,17815,14801,31,169,4028,0.27,124868,0
dragon statue kit,23786,220,23823,220,13,1,23566,107.12,23566,1
dragon tapestry,890,16,1066,13,28,14,874,54.62,12236,2
dragon throne kit,299999,90300,190724,80678,12,2,209699,2.32,419398,1
dragon tongue,550,251,523,250,5,227,299,1.19,1495,0
dragon's tail,101,55,91,83,41,1241,46,0.84,1886,2
dragonbone staff,2992,2830,2961,2908,23,1007,162,0.06,3726,1
dragonfetish,75000,2125,60857,0,7,0,72875,34.29,0,1
dragonfruit,400,0,493,0,4,0,400,0,0,0
draken boots,40999,39173,41149,39339,96,121,1826,0.05,175296,1
draken sulphur,689,471,927,489,434,201,218,0.46,43818,2
draken trophy,38700,7215,0,7132,0,11,31485,4.36,0,1
draken wristbands,10,10,400,77,1,42,0,0.0,0,0
drakinata,10444,9535,10567,9599,18,389,909,0.1,16362,1
draptor scales,89900,1001,89900,10072,1,5,88899,88.81,88899,0
drawer kit,-1,100000,0,0,0,0,-100001,-1.0,0,0
dreaded cleaver,14966,14230,14823,14163,32,875,736,0.05,23552,1
dream blossom staff,5354,4694,7515,4703,125,166,660,0.14,82500,1
dream essence egg,1500,135,278,140,15,240,1365,10.11,20475,1
dream matter,19999,2620,6682,1986,80,84,17379,6.63,1390320,5
dream shroud,891999,720000,1043501,872986,75,60,171999,0.24,10319940,6
dream warden claw,3450000,2602000,3559400,2790000,5,2,848000,0.33,1696000,0
dream warden mask,124700,86000,138845,92501,6,4,38700,0.45,154800,0
dresser kit,-1,100000,0,0,0,0,-100001,-1.0,0,0
drill bolt,20,6,14,5,201,160,14,2.33,2240,1
drum,-1,0,0,0,0,0,-1,0,0,0
dry piece of wood,128431,75002,169650,75080,6,5,53429,0.71,267145,0
dubious piece of cloth,799,60,1433,76,72,50,739,12.32,36950,1
dung ball,134900,80000,141067,81666,47,24,54900,0.69,1317600,1
dwarf disguise kit,-1,150000,0,0,0,0,-150001,-1.0,0,1
dwarven armor,5099900,4267000,4755759,4042364,25,11,832900,0.2,9161900,1
dwarven axe,3000,450,2086,483,45,51,2550,5.67,114750,1
dwarven beard,339,51,339,48,4,34,288,5.65,1152,0
dwarven helmet,767700,459100,557389,479651,31,16,308600,0.67,4937600,3
dwarven legs,129999,119900,173909,144836,180,170,10099,0.08,1716830,4
dwarven pickaxe,1942,961,3101,1027,456,147,981,1.02,144207,3
dwarven ring,2174,1993,2344,2097,3165,686,181,0.09,124166,5
dwarven shield,399,63,430,62,153,97,336,5.33,32592,0
eagle shield,-1,0,0,0,0,0,-1,0,0,0
earflap,39,26,0,18,0,282,13,0.5,0,0
earth amplification,720000,450000,703666,485100,6,10,270000,0.6,1620000,1
earth arrow,3,2,3,1,55,116,1,0.5,55,1
earth barbaric axe replica,50000,0,0,0,0,0,50000,0,0,0
earth basher replica,78000,0,0,0,0,0,78000,0,0,0
earth blacksteel replica,65000,0,0,0,0,0,65000,0,0,0
earth cleric mace replica,5000,0,0,0,0,0,5000,0,0,0
earth crystal mace replica,67000,0,0,0,0,0,67000,0,0,0
earth headchopper replica,0,0,5000,0,1,0,0,0,0,0
earth heroic axe replica,5000,0,5000,0,1,0,5000,0,0,0
earth knight axe replica,68000,0,0,0,0,0,68000,0,0,0
earth mystic blade replica,5000,0,5000,0,1,0,5000,0,0,0
earth orcish maul replica,-1,0,0,0,0,0,-1,0,0,0
earth relic sword replica,5000,0,0,0,0,0,5000,0,0,0
earth resilience,1359000,522129,996397,0,9,0,836871,1.6,0,1
earth slayer replica,5000,0,5000,0,1,0,5000,0,0,0
earth spike sword replica,3000,0,3000,0,1,0,3000,0,0,0
earth war axe replica,5000,0,0,0,0,0,5000,0,0,0
earth war hammer replica,5000,0,0,0,0,0,5000,0,0,0
earthborn titan armor,47000000,15000000,0,0,0,0,32000000,2.13,0,0
earthheart cuirass,1228600,950012,1269972,853050,2,6,278588,0.29,557176,0
earthheart hauberk,799900,474017,799900,474764,1,2,325883,0.69,325883,0
earthheart platemail,2200000,525706,2658434,612853,1,2,1674294,3.18,1674294,0
earthmind raiment,990000,653000,1128767,683354,32,20,337000,0.52,6740000,3
earthsoul tabard,1436700,900000,976622,520990,7,9,536700,0.6,3756900,2
easel kit,4799999,2778000,5287000,2875250,4,4,2021999,0.73,8087996,0
easily inflammable sulphur,-1,0,0,0,0,0,-1,0,0,0
eclesius' sandals,-1,-1,-1,-1,-1,-1,0,0,0,-1
ectoplasmic shield,289800,235736,312599,245424,43,37,54064,0.23,2000368,2
ectoplasmic sushi,255,93,239,93,25,85,162,1.74,4050,0
egg,99,1,98,1,2,5,98,98.0,196,0
egg of the many,99000,52100,47945,30131,118,20,46900,0.9,938000,4
elane's crossbow,569000,51700,451988,75850,9,4,517300,10.01,2069200,1
elder bonelord tentacle,355,116,297,114,11,145,239,2.06,2629,3
eldritch bow,24766283,17004000,19692547,17005001,4,2,7762283,0.46,15524566,2
eldritch breeches,15434000,11002000,15227573,12251000,6,4,4432000,0.4,17728000,1
eldritch casket,189999,20800,187838,20800,13,1,169199,8.13,169199,0
eldritch claymore,72887000,60000000,71569320,60302457,4,7,12887000,0.21,51548000,0
eldritch cowl,18997000,13062000,18786725,0,4,0,5935000,0.45,0,0
eldritch crystal,70998,40800,73598,42430,9,24,30198,0.74,271782,0
eldritch cuirass,15000000,10058012,16499500,10303431,2,4,4941988,0.49,9883976,1
eldritch folio,18000000,13556000,20133333,0,3,0,4444000,0.33,0,0
eldritch greataxe,23500000,15038000,22947333,15782175,6,4,8462000,0.56,33848000,2
eldritch hood,34000000,27840999,36132833,27858151,6,3,6159001,0.22,18477003,1
eldritch quiver,55000000,37003000,48374500,0,4,0,17997000,0.49,0,0
eldritch rod,7111111,6007986,8996781,6007986,4,1,1103125,0.18,1103125,0
eldritch shield,118000000,85003000,94219498,77167000,8,3,32997000,0.39,98991000,1
eldritch tome,36979000,25026000,36749616,28735449,6,3,11953000,0.48,35859000,0
eldritch wand,5843123,1045700,5114374,0,3,0,4797423,4.59,0,0
eldritch warmace,25500000,20000000,26247499,19336666,6,3,5500000,0.28,16500000,1
elemental crystal,6099,700,6200,835,1,2,5399,7.71,5399,1
elemental spikes,227998000,140001000,0,142500500,0,2,87997000,0.63,0,2
elethriel's elemental bow,-1,0,0,0,0,0,-1,0,0,0
elite draken helmet,475799,295000,367845,297195,98,64,180799,0.61,11571136,2
elite draken mail,189558,50904,157927,57495,38,18,138654,2.72,2495772,1
elven amulet,95,40,199,39,154,635,55,1.38,8470,1
elven astral observer,85,61,75,58,17,660,24,0.39,408,0
elven brooch,-1,0,0,0,0,0,-1,0,0,0
elven hoof,7909,6530,7666,6840,736,623,1379,0.21,859117,4
elven legs,149,42,377,56,12,43,107,2.55,1284,1
elven mail,2198999,1417000,2093927,1786930,167,113,781999,0.55,88365887,5
elven poetry book,100000,11111,100000,11111,1,2,88889,8.0,88889,0
elven scouting glass,998,759,1070,861,592,1025,239,0.31,141488,3
elven vase,-1,0,0,0,0,0,-1,0,0,0
elvenhair rope,47000,25485,41723,23768,63,55,21515,0.84,1183325,1
elvish bow,2495,1981,2555,1980,199,301,514,0.26,102286,2
elvish talisman,5148,3789,4267,3737,2169,1880,1359,0.36,2554920,5
embrace of nature,34490,13000,35312,20969,119,91,21490,1.65,1955590,4
emerald bangle,795,790,794,790,2,1353,5,0.01,10,0
emerald necklace,-1,155555,0,0,0,0,-155556,-1.0,0,0
emerald sword,300000,125300,205137,119196,35,21,174700,1.39,3668700,2
emergency kit,25000,0,0,0,0,0,25000,0,0,0
empty beer bottle,-1,-1,-1,-1,-1,-1,0,0,0,-1
empty beer mug,1800000,100000,0,100000,0,1,1700000,17.0,0,0
empty flower pot,7,0,27,0,10,0,7,0,0,1
empty goldfish bowl,250,1,296,1,18,12,249,249.0,2988,0
empty honey glass,999,95,471,119,28,49,904,9.52,25312,1
empty jug,21999,111,29000,60,1,7,21888,197.19,21888,0
empty potion flask,5,4,11,4,56,2318,1,0.25,56,1
enchanted chicken wing,32990,29900,32844,29932,99,22,3090,0.1,67980,1
enchanted pendulet,3696000,3211000,3975430,3428969,53,32,485000,0.15,15520000,1
enchanted sleep shawl,899999,788000,925364,810595,125,81,111999,0.14,9071919,3
enchanted spear,96,56,93,35,384,85,40,0.71,3400,0
enchanted turtle amulet,51990000,42074000,49239489,46138000,28,22,9916000,0.24,218152000,3
encyclopedia,2000000,2000000,1000000,2000000,1,1,0,0.0,0,0
energetic backpack,150000,77441,113874,69491,63,46,72559,0.94,3337714,3
energized demonbone,120000,20011,0,15600,0,9,99989,5.0,0,0
energized limb,149000,70100,116454,79604,58,42,78900,1.13,3313800,1
energy amplification,900000,480002,785104,458759,19,6,419998,0.87,2519988,1
